timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710712272821,50,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/2b3d8b74-e48a-4730-bb3a-eac7ae07d50f.json-98,200,OK,ThreadSafeAI 1-2,text,true,,1400,559,2,2,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/2b3d8b74-e48a-4730-bb3a-eac7ae07d50f.json?id=2b3d8b74-e48a-4730-bb3a-eac7ae07d50f,50,0,0
1710712272820,60,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/8c98cfa1-139b-4e19-92b4-187f441a66b9.json-110,200,OK,ThreadSafeAI 1-1,text,true,,1400,559,2,2,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/8c98cfa1-139b-4e19-92b4-187f441a66b9.json?id=8c98cfa1-139b-4e19-92b4-187f441a66b9,59,0,0
1710712272892,1,Debug Sampler,200,OK,ThreadSafeAI 1-1,text,true,,283,0,2,2,null,0,0,0
1710712272872,49,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/9c16999e-3a08-41a4-a62c-fed4994f9355.json-99,200,OK,ThreadSafeAI 1-2,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/9c16999e-3a08-41a4-a62c-fed4994f9355.json?id=9c16999e-3a08-41a4-a62c-fed4994f9355,49,0,0
1710712272922,48,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/75c9f001-3696-4462-8f7c-956c4cec3f8d.json-100,200,OK,ThreadSafeAI 1-2,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/75c9f001-3696-4462-8f7c-956c4cec3f8d.json?id=75c9f001-3696-4462-8f7c-956c4cec3f8d,48,0,0
1710712272971,51,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d64eab39-4186-45a2-b438-963bfbfbfce1.json-102,200,OK,ThreadSafeAI 1-2,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d64eab39-4186-45a2-b438-963bfbfbfce1.json?id=d64eab39-4186-45a2-b438-963bfbfbfce1,51,0,0
1710712273023,49,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0e268280-f639-4859-b0b3-b8404fe38deb.json-101,200,OK,ThreadSafeAI 1-2,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0e268280-f639-4859-b0b3-b8404fe38deb.json?id=0e268280-f639-4859-b0b3-b8404fe38deb,49,0,0
1710712273073,49,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/370674c8-c6cd-42d2-b6a2-1fe9dceffaf6.json-103,200,OK,ThreadSafeAI 1-2,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/370674c8-c6cd-42d2-b6a2-1fe9dceffaf6.json?id=370674c8-c6cd-42d2-b6a2-1fe9dceffaf6,49,0,0
1710712273123,50,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/70cc6942-ce6e-481c-9e84-4cb8fd1348fb.json-104,200,OK,ThreadSafeAI 1-2,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/70cc6942-ce6e-481c-9e84-4cb8fd1348fb.json?id=70cc6942-ce6e-481c-9e84-4cb8fd1348fb,50,0,0
1710712273175,51,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/96cb7ea1-ff86-4d0d-b8b0-1af7f7b0abbc.json-105,200,OK,ThreadSafeAI 1-2,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/96cb7ea1-ff86-4d0d-b8b0-1af7f7b0abbc.json?id=96cb7ea1-ff86-4d0d-b8b0-1af7f7b0abbc,51,0,0
